"Note: This is a sample of the player file and includes only 1,500 players. The full version is over 10,000.",,,,,,,,,,,,,,,,,,,,,,,,,,
player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp,nflid,pimg
AJ-1450,Andy,Jones,A.Jones,WR,,73,213,6/28/1994,4.55,11,41.5,133,4.35,6.97,0,0,0,Jacksonville,,2016,HOU,LWR,18,3,2556569,JON037185.png
AJ-1500,Arthur,Jones,A.Jones,DL,,75,315,6/3/1986,5.04,30,0,0,0,0,0,0,0,Syracuse,Big East,2010,INA,INA,0,0,2508055,JON069762.png
AJ-1600,Akeem,Jordan,A.Jordan,LB,,73,230,8/17/1985,0,0,0,0,0,0,0,0,0,James Madison,Atlantic 10,2007,INA,INA,0,0,2507285,JOR014362.png
AJ-1700,Andrew,Jordan,A.Jordan,TE,,78,260,6/21/1972,0,0,0,0,0,0,0,0,179,Western Carolina,Southern,1994,INA,INA,0,0,2501527,JOR024862.png
AJ-1800,Antony,Jordan,A.Jordon,LB,,75,235,12/19/1974,0,0,0,0,0,0,0,0,135,Vanderbilt,Southeastern (SEC),1998,INA,INA,0,0,2501537,JOR033299.png
AJ-1900,Alex,Joseph,A.Joseph,LB,,74,240,7/6/1988,4.62,21,33,119,4.09,6.69,0,0,0,Temple,Mid-American (MAC),2010,INA,INA,0,0,2507942,JOS144366.png
AJ-2000,Akeem,Judd,A.Judd,RB,,71,228,12/11/1992,4.54,21,32.5,114,4.35,7.47,0,0,0,Mississippi,Southeastern (SEC),2017,TEN,RES,38,1,2559338,JUD125680.png
AK-0050,Alvin,Kamara,A.Kamara,RB,,70,214,7/25/1995,4.56,15,39.5,131,4.35,7.1,32.75,9.25,67,Tennessee,Southeastern (SEC),2017,NO,RB,41,3,2558019,KAM244058.png
AK-0100,Aaron,Kampman,A.Kampman,DL,LB,76,286,11/30/1979,4.87,0,0,0,0,0,0,0,156,Iowa,Big Ten,2002,INA,INA,0,0,2505138,KAM725424.png
AK-0200,Alain,Kashama,A.Kashama,DL,,76,270,12/8/1979,4.8,0,0,0,0,0,0,0,0,Michigan,Big Ten,2004,INA,INA,0,0,2505817,KAS103822.png
AK-0300,Andy,Katzenmoyer,A.Katzenmoyer,LB,,75,255,12/2/1977,4.68,23,0,0,0,0,0,0,28,Ohio State,Big Ten,1999,INA,INA,0,0,2501565,KAT813632.png
AK-0325,Anthony,Kelly,A.Kelly,WR,,74,210,4/14/1993,4.45,0,0,0,4.13,0,0,0,0,Kutztown,,2016,INA,INA,0,0,2557533,KEL493080.png
AK-0350,Akeem,King,A.King,DB,,73,215,10/29/1992,4.43,20,37.5,122,4.39,7.08,0,0,249,San Jose State,Mountain West (MWC),2015,SEA,PS,36,4,2553456,KIN276536.png
AK-0400,Andre,King,A.King,WR,,71,195,11/26/1973,4.61,0,35.5,0,0,0,0,0,245,Miami (FL),Big East,2001,INA,INA,0,0,2504668,KIN283143.png
AK-0500,Andy,King,A.King,OL,,76,310,11/9/1978,0,0,0,0,0,0,0,0,0,Illinois State,Missouri Valley,2002,INA,INA,0,0,2504905,KIN294469.png
AK-0600,Austin,King,A.King,OL,,77,303,4/11/1981,5.42,20,28,106,4.73,7.99,0,0,133,Northwestern,Big Ten,2004,INA,INA,0,0,2505526,KIN310513.png
AK-0625,Andrae,Kirk,A.Kirk,LB,,74,225,8/27/1993,4.73,19,33.5,118,5.01,7.54,0,0,0,Florida Atlantic,Conference USA (C-USA),2015,INA,INA,0,0,2553547,KIR253552.png
AK-0650,A.J.,Klein,A.Klein,LB,,73,250,7/30/1991,4.66,20,33,113,4.35,7.09,32.875,10.25,148,Iowa State,Big 12,2013,NO,SLB,53,1,2539982,KLE216860.png
AK-0700,Adrian,Klemm,A.Klemm,OL,,75,310,5/21/1977,4.98,24,0,0,0,0,0,0,46,Hawaii,Western Athletic,2000,INA,INA,0,0,2504201,KLE460433.png
AK-0750,Andreas,Knappe,A.Knappe,OL,,80,323,6/2/1991,5.17,23,30,106,0,0,0,0,0,Connecticut,American Athletic,2017,INA,INA,0,0,2559116,KNA586895.png
AK-0800,Aaron,Koch,A.Koch,OL,,75,300,2/21/1978,0,0,0,0,0,0,0,0,0,Oregon State,Pacific 10,2000,INA,INA,0,0,2504048,KOC078322.png
AK-0900,Adam,Koets,A.Koets,OL,,77,298,1/7/1984,5.08,20,32,106,4.47,7.44,0,0,189,Oregon State,Pacific 10,2007,INA,INA,0,0,2495656,KOE755073.png
AK-0950,Arie,Kouandjio,A.Kouandjio,OL,,77,310,4/23/1992,5.48,0,25.5,100,5.38,8.4,34.125,10.875,112,Alabama,Southeastern (SEC),2015,BAL,PS,62,4,2552333,KOU050326.png
AK-0962,Alex,Kozan,A.Kozan,OL,,75,296,11/17/1993,5.53,18,31,99,4.83,7.84,0,0,0,Auburn,Southeastern (SEC),2017,INA,INA,0,0,2559029,KOZ124439.png
AK-0975,Anthony,Kukwa,A.Kukwa,TE,,74,239,10/30/1992,4.63,27,37.5,127,4.39,7.03,0,0,0,Lake Erie,,2017,INA,INA,0,0,2559049,KUK711928.png
AK-1000,Adi,Kunalic,A.Kunalic,K,,72,184,4/1/1989,4.75,0,0,0,0,0,0,0,0,Nebraska,Big 12,2011,INA,INA,0,0,2531046,KUN015379.png
AK-1100,Alex,Kupper,A.Kupper,OL,,75,300,2/4/1990,5.36,24,24,100,4.73,7.5,0,0,0,Louisville,Big East,2013,INA,INA,0,0,2541847,KUP579972.png
AL-0100,Antwan,Lake,A.Lake,DL,,76,308,7/10/1979,5.08,27,0,0,0,0,0,0,0,West Virginia,Big East,2002,INA,INA,0,0,2504840,LAK264111.png
AL-0150,Ashton,Lampkin,A.Lampkin,DB,,72,189,1/10/1994,4.52,19,34.5,120,4.5,7.26,31,9.375,0,Oklahoma State,Big 12,2017,KC,RES,6,1,2559077,LAM762731.png
AL-0200,Austen,Lane,A.Lane,DL,,78,274,11/9/1987,4.84,20,34.5,125,4.6,7.38,33.375,10.125,153,Murray State,Ohio Valley,2010,INA,INA,0,0,496808,LAN213708.png
AL-0300,Antonio,Langham,A.Langham,DB,,72,181,7/31/1972,0,0,0,0,0,0,0,0,9,Alabama,Southeastern (SEC),1994,INA,INA,0,0,2501693,LAN556636.png
AL-0325,Anthony,Lanier,A.Lanier,DL,,78,260,5/8/1993,4.82,16,28,119,4.46,7.51,0,0,0,Alabama A&M,Southwestern Athletic (SWAC),2016,WAS,DE,72,3,2556416,LAN605231.png
AL-0350,Al,Lapuaho,A.Lapuaho,DL,,75,285,8/4/1991,5.3,33,24.5,99,4.96,7.77,0,0,0,Utah State,Western Athletic,2013,INA,INA,0,0,2541593,LAP755595.png
AL-0375,Andrew,Lauderdale,A.Lauderdale,OL,,78,296,11/22/1993,4.9,21,28,103,4.74,7.27,0,0,0,New Hampshire,Colonial Athletic (CAA),2017,INA,INA,0,0,2559078,LAU063447.png
AL-0400,Amp,Lee,A.Lee,RB,,71,200,10/1/1971,0,0,0,0,0,0,0,0,45,Florida State,FCS Independents,1992,INA,INA,0,0,2501715,LEE016392.png
AL-0500,Andy,Lee,A.Lee,K,,73,180,8/11/1982,5,0,0,0,0,0,0,0,188,Pittsburgh,Big East,2004,ARI,P,2,1,2506017,LEE008195.png
AL-0600,Ashley,Lelie,A.Lelie,WR,,75,200,2/16/1980,4.49,0,0,0,0,0,0,0,19,Hawaii,Western Athletic,2002,INA,INA,0,0,2505022,LEL296636.png
AL-0620,Alec,Lemon,A.Lemon,WR,,73,202,7/1/1991,4.56,7,36.5,116,4.29,7.04,0,0,0,Syracuse,Big East,2013,INA,INA,0,0,2540231,LEM570770.png
AL-0650,Anthony,Levine,A.Levine,DB,,71,203,3/27/1987,4.49,20,35,114,4.05,6.75,0,0,0,Tennessee State,Ohio Valley,2010,BAL,SS,41,2,2508004,LEV588156.png
AL-0700,Andy,Levitre,A.Levitre,OL,,74,305,5/15/1986,5.33,23,30.5,103,4.52,7.67,0,0,51,Oregon State,Pacific 10,2009,ATL,LG,67,1,71363,LEV605031.png
AL-0800,Alex,Lewis,A.Lewis,LB,,72,237,6/11/1981,4.78,25,41,125,4.31,6.84,0,0,140,Wisconsin,Big Ten,2004,INA,INA,0,0,2506009,LEW035903.png
AL-0850,Alex,Lewis,A.Lewis,OL,,78,312,4/21/1992,5.22,27,29.5,105,4.72,7.94,34,10,130,Nebraska,Big Ten,2016,BAL,RES,72,4,2555353,LEW035528.png
AL-0875,Abner,Logan,A.Logan,LB,,74,235,7/24/1993,4.76,29,35.5,120,4.56,7.13,0,0,0,Albany,Colonial Athletic (CAA),2017,INA,INA,0,0,2559339,LOG064257.png
AL-0900,Andre,Lott,A.Lott,DB,,70,196,5/31/1979,4.48,0,0,0,0,0,0,0,159,Tennessee,Southeastern (SEC),2002,INA,INA,0,0,2505141,LOT262716.png
AL-0950,Al,Louis-Jean,A.Louis-Jean,DB,,73,187,10/13/1993,4.58,8,32.5,125,4.41,7.03,0,0,0,Boston College,Atlantic Coast (ACC),2014,INA,INA,0,0,2550764,LOU680177.png
AL-1000,Al,Lucas,A.Lucas,DL,,73,294,9/1/1978,5,28,36,108,4.56,7.44,0,0,0,Troy,Southland,2000,INA,INA,0,0,2503985,LUC036077.png
AL-1100,Andrew,Luck,A.Luck,QB,,76,234,9/12/1989,4.59,0,36,124,4.28,6.8,32.625,10,1,Stanford,Pacific 12,2012,IND,QB,12,3,2533031,LUC524055.png
AL-1200,Aaron,Lynch,A.Lynch,LB,DL,77,249,3/8/1993,4.69,18,29,117,4.61,7.46,34,10.25,150,South Florida,American Athletic,2014,SF,LDE,59,3,2543650,LYN062058.png
AL-1300,Arthur,Lynch,A.Lynch,TE,,77,258,6/17/1990,4.75,28,29.5,116,4.35,7.38,32.5,10.125,155,Georgia,Southeastern (SEC),2014,INA,INA,0,0,2543714,LYN065058.png
AM-0050,Ashaad,Mabry,A.Mabry,DL,,75,315,11/4/1992,5.34,26,22.5,99,5.18,8.39,0,0,0,Texas-San Antonio,Conference USA (C-USA),2015,INA,INA,0,0,2553814,MAB422041.png
AM-0100,Alex,Mack,A.Mack,OL,,76,311,11/19/1985,5.17,20,28.5,106,4.75,7.31,0,0,21,California,Pacific 10,2009,ATL,C,51,1,71375,MAC273212.png
AM-0200,Anthony,Maddox,A.Maddox,DL,,73,305,11/22/1978,5.11,0,0,0,0,0,0,0,118,Delta State,,2004,INA,INA,0,0,2505927,MAD346648.png
AM-0300,Adrian,Madise,A.Madise,WR,,71,215,3/23/1980,4.49,0,32,119,4.26,7.32,0,0,158,Texas Christian,Conference USA (C-USA),2003,INA,INA,0,0,2505446,MAD652759.png
AM-0400,Anthony,Madison,A.Madison,DB,,69,180,10/8/1981,4.45,14,38.5,123,4.41,6.93,0,0,0,Alabama,Southeastern (SEC),2006,INA,INA,0,0,2506811,MAD654446.png
AM-0500,Alex,Magee,A.Magee,DL,,74,295,4/28/1987,5.03,30,29.5,113,4.42,7.15,0,0,67,Purdue,Big Ten,2009,INA,INA,0,0,79601,MAG115782.png
AM-0600,Anthony,Malbrough,A.Malbrough,DB,,70,185,12/9/1976,4.44,20,35.5,117,4,6.73,0,0,130,Texas Tech,Big 12,2000,INA,INA,0,0,2504120,MAL066076.png
AM-0700,Alfred,Malone,A.Malone,DL,,77,308,2/21/1982,5.16,21,35,110,4.62,7.42,0,0,0,Troy,Sun Belt,2005,INA,INA,0,0,2506173,MAL543214.png
AM-0750,Ali,Marpet,A.Marpet,OL,,76,307,4/17/1993,4.96,30,30.5,108,4.47,7.33,33.375,10,61,Hobart,,2015,TB,C,74,1,2552332,MAR291946.png
AM-0800,Alfonso,Marshall,A.Marshall,DB,,73,186,1/17/1981,4.47,0,0,0,0,0,0,0,215,Miami (FL),Big East,2004,INA,INA,0,0,2505945,MAR362640.png
AM-0850,Arthur,Maulet,A.Maulet,DB,,71,190,7/13/1993,4.62,18,36.5,123,4.34,7.12,0,0,0,Memphis,American Athletic,2017,NO,PS,37,1,2559087,MAU475233.png
AM-0900,Aaron,Maybin,A.Maybin,DL,LB,76,250,4/6/1988,4.78,22,40,124,4.38,7.52,0,0,11,Penn State,Big Ten,2009,INA,INA,0,0,80433,MAY287870.png
AM-1000,Adrian,Mayes,A.Mayes,DB,,73,211,11/17/1980,4.5,0,0,0,0,0,0,0,0,LSU,Southeastern (SEC),2004,INA,INA,0,0,2505769,MAY337636.png
AM-1100,Alonzo,Mayes,A.Mayes,TE,,76,259,6/4/1975,0,0,0,0,0,0,0,0,94,Oklahoma State,Big 12,1998,INA,INA,0,0,2501925,MAY341116.png
AM-1125,Alex,McCalister,A.McCalister,DL,,78,239,10/17/1993,4.75,0,34.5,128,4,7.01,36,9.375,240,Florida,Southeastern (SEC),2016,INA,INA,0,0,2555510,MCC057244.png
AM-1150,A.J.,McCarron,A.McCarron,QB,,75,220,9/13/1990,4.9,0,28,99,4.34,7.18,31.5,10,164,Alabama,Southeastern (SEC),2014,CIN,QB,5,2,43497,null.png
AM-1175,Antoine,McClain,A.McClain,OL,,77,336,12/6/1989,5.48,19,27,91,4.82,8.13,0,0,0,Clemson,Atlantic Coast (ACC),2012,INA,INA,0,0,2532906,MCC305576.png
AM-1200,Albert,McClellan,A.McClellan,LB,DE,73,245,6/4/1986,4.75,27,36.5,119,4.21,7.24,0,0,0,Marshall,Conference USA (C-USA),2010,BAL,RES,50,5,496814,MCC379498.png
AM-1300,Andy,McCollum,A.McCollum,OL,,76,300,6/2/1970,0,0,0,0,0,0,0,0,0,Toledo,Mid-American (MAC),1995,INA,INA,0,0,2501952,MCC485842.png
AM-1400,Anthony,McCoy,A.McCoy,TE,,76,259,12/28/1987,4.71,19,35.5,113,4.57,6.99,34,10.375,185,USC,Pacific 10,2010,INA,INA,0,0,497250,MCC601593.png
AM-1425,Adrian,McDonald,A.McDonald,DB,,71,205,3/18/1994,4.65,10,33,112,4.46,7.47,0,0,0,Houston,American Athletic,2016,INA,INA,0,0,2556815,MCD240217.png
AM-1450,Andrew,McDonald,A.McDonald,OL,,78,310,9/8/1988,5.25,23,28.5,105,4.8,7.88,0,0,0,Indiana,Big Ten,2012,INA,INA,0,0,2536038,MCD240442.png
AM-1500,Anthony,McFarland,A.McFarland,DL,,72,300,12/18/1977,4.85,25,28.5,120,4.28,7.98,0,0,15,LSU,Southeastern (SEC),1999,INA,INA,0,0,2501988,MCF544722.png
AM-1600,Alvin,McKinley,A.McKinley,DL,,75,310,6/9/1978,5.09,22,27.5,102,4.61,7.73,0,0,120,Mississippi State,Southeastern (SEC),2000,INA,INA,0,0,2504117,MCK390700.png
AM-1700,Adam,Meadows,A.Meadows,OL,,77,290,1/25/1974,0,0,0,0,0,0,0,0,48,Georgia,Southeastern (SEC),1997,INA,INA,0,0,2502057,MEA457737.png
AM-1750,Aaron,Mellette,A.Mellette,WR,,74,217,12/28/1989,4.45,9,33.5,123,4.41,7.11,33.125,9.625,238,Elon,Southern,2013,INA,INA,0,0,2539221,MEL289611.png
AM-1800,Ahmad,Merritt,A.Merritt,WR,,70,195,2/5/1977,0,0,0,0,0,0,0,0,0,Wisconsin,Big Ten,2001,INA,INA,0,0,2504151,MER572803.png
AM-1900,Aaron,Merz,A.Merz,OL,,75,346,8/27/1983,5.61,16,26.5,91,4.96,7.65,0,0,248,California,Pacific 10,2006,INA,INA,0,0,2506997,MER788151.png
AM-1950,Arthur,Miley,A.Miley,DL,,78,250,3/3/1993,4.81,17,34,114,4.75,7.56,0,0,0,Southern,Southwestern Athletic (SWAC),2015,INA,INA,0,0,2553569,MIL071790.png
AM-2000,Arnold,Miller,A.Miller,DL,,75,239,1/3/1975,4.77,12,33.5,120,4.12,7.01,0,0,0,LSU,Southeastern (SEC),1999,INA,INA,0,0,2502095,MIL140304.png
AM-2100,Anthony,Mitchell,A.Mitchell,DB,,73,198,12/13/1974,0,0,0,0,0,0,0,0,0,Tuskegee,,2000,INA,INA,0,0,2502135,MIT115602.png
AM-2200,Anthony,Mix,A.Mix,WR,,77,235,1/20/1983,4.48,0,32,115,4.43,7.18,0,0,0,Auburn,Southeastern (SEC),2007,INA,INA,0,0,2506724,MIX249861.png
AM-2300,Arthur,Moats,A.Moats,LB,,72,246,3/14/1988,4.64,24,36.5,122,4.37,7.22,33.75,8.625,178,James Madison,Colonial Athletic (CAA),2010,PIT,LOLB,55,3,496825,MOA594964.png
AM-2400,Alex,Molden,A.Molden,DB,,70,190,8/4/1973,0,0,0,0,0,0,0,0,11,Oregon,Pacific 10,1996,INA,INA,0,0,2502162,MOL127180.png
AM-2500,Antwaun,Molden,A.Molden,DB,,73,198,1/23/1985,4.39,23,37.5,129,4.14,6.85,0,0,79,Eastern Kentucky,Ohio Valley,2008,INA,INA,0,0,2011,MOL131680.png
AM-2600,Anthony,Montgomery,A.Montgomery,DL,,77,301,3/8/1984,5.24,20,28,96,4.7,7.79,0,0,153,Minnesota,Big Ten,2006,INA,INA,0,0,2506942,MON419313.png
AM-2650,Alonzo,Moore,A.Moore,WR,,73,196,11/10/1992,4.47,0,32,119,4.17,6.79,0,0,0,Nebraska,Big Ten,2017,INA,INA,0,0,2559088,MOO164950.png
AM-2700,Aaron,Moorehead,A.Moorehead,WR,,75,200,11/5/1980,0,0,0,0,0,0,0,0,0,Illinois,Big Ten,2003,INA,INA,0,0,2505391,MOO778612.png
AM-2800,Aaron,Morgan,A.Morgan,DL,,76,238,12/30/1988,4.78,26,40.5,127,4.3,7.14,0,0,0,Louisiana-Monroe,Sun Belt,2010,INA,INA,0,0,2507986,MOR137718.png
AM-2850,Alfred,Morris,A.Morris,RB,TE,70,219,12/12/1988,4.61,16,35.5,117,4.19,7.01,31.375,10.25,173,Florida Atlantic,Sun Belt,2012,DAL,RB,46,3,2533457,MOR317547.png
AM-2875,Anthony,Morris,A.Morris,OL,,79,303,3/25/1992,5.3,25,27.5,110,4.87,7.59,0,0,218,Tennessee State,Ohio Valley,2015,INA,INA,0,0,2553450,MOR317988.png
AM-2900,Aric,Morris,A.Morris,DB,,70,210,7/22/1977,4.56,24,0,0,0,0,0,0,135,Michigan State,Big Ten,2000,INA,INA,0,0,2504189,MOR318871.png
AM-2950,Antonio,Morrison,A.Morrison,LB,,73,233,12/6/1994,5.1,23,30,111,4.64,7.69,30.375,9,125,Florida,Southeastern (SEC),2016,IND,ILB,44,1,2555160,MOR564646.png
AM-2975,Avery,Moss,A.Moss,DL,,75,264,9/16/1994,4.79,14,32.5,113,0,0,34.5,10.375,167,Youngstown State,Missouri Valley,2017,NYG,RDE,91,2,2558031,MOS522777.png
AM-3000,Adrian,Moten,A.Moten,LB,,74,230,4/22/1988,4.53,18,32.5,128,4.21,7.05,0,0,0,Maryland,Atlantic Coast (ACC),2011,INA,INA,0,0,2495317,MOT246687.png
AM-3025,Al-Quadin,Muhammad,A.Muhammad,DL,,75,253,3/28/1995,4.78,22,30.5,116,4.38,7.46,33.25,9.375,196,Miami (FL),Atlantic Coast (ACC),2017,NO,RDE,97,2,2558131,MUH405540.png
AM-3050,Andy,Mulumba,A.Mulumba,LB,,75,260,1/31/1990,4.82,23,36,113,4.58,7.38,0,0,0,Eastern Michigan,Mid-American (MAC),2013,INA,INA,0,0,2541871,MUL787064.png
AM-3075,Aaron,Murray,A.Murray,QB,,73,207,11/10/1990,4.84,0,0,0,0,0,30.625,9.125,163,Georgia,Southeastern (SEC),2014,INA,INA,0,0,2543587,MUR545474.png
AM-3100,Adrian,Murrell,A.Murrell,RB,,71,211,10/16/1970,0,0,0,0,0,0,0,0,120,West Virginia,Big East,1993,INA,INA,0,0,2502245,MUR719159.png
AN-0025,Anthony,Nash,A.Nash,WR,,75,199,9/20/1993,4.38,13,37.5,124,4.28,7.23,0,0,0,Duke,Atlantic Coast (ACC),2017,INA,INA,0,0,2559221,NAS112930.png
AN-0050,Aaron,Neary,A.Neary,OL,,75,287,11/15/1992,5.15,26,28.5,104,4.47,7.53,0,0,0,Eastern Washington,Big Sky,2016,LA,PS,72,5,2556630,NEA744375.png
AN-0100,Andre,Neblett,A.Neblett,DL,DB,72,295,6/7/1988,4.99,32,30,109,4.52,7.57,0,0,0,Temple,Mid-American (MAC),2010,INA,INA,0,0,2507925,NEB385627.png
AN-0200,A.J.,Nicholson,A.Nicholson,LB,,72,240,6/25/1983,4.88,25,0,118,4.46,7.34,0,0,157,Florida State,Atlantic Coast (ACC),2006,INA,INA,0,0,2506943,NIC526160.png
AN-0300,Adam,Nissley,A.Nissley,TE,,78,267,5/6/1988,4.83,40,30,110,4.22,7.21,0,0,0,Central Florida,Conference USA (C-USA),2012,INA,INA,0,0,2535579,NIS741988.png
AN-0400,Andrew,Norwell,A.Norwell,OL,,77,320,10/25/1991,5.31,22,28,105,4.93,8.09,0,0,0,Ohio State,Big Ten,2014,CAR,LG,68,1,2550589,NOR777536.png
AO-0100,Anthony,Oakley,A.Oakley,OL,,76,295,8/16/1981,0,0,0,0,0,0,0,0,0,Western Kentucky,Missouri Valley,2007,INA,INA,0,0,2505822,OAK611685.png
AO-0200,Antwan,Odom,A.Odom,DL,,76,277,9/24/1981,4.71,21,37,114,4.44,7.3,0,0,57,Alabama,Southeastern (SEC),2004,INA,INA,0,0,2506105,ODO051141.png
AO-0250,Alec,Ogletree,A.Ogletree,LB,,74,242,9/25/1991,4.7,20,33.5,122,4.39,7.11,33.5,10,30,Georgia,Southeastern (SEC),2013,LA,ILB,52,1,2540143,OGL654714.png
AO-0300,Adewale,Ogunleye,A.Ogunleye,DL,,76,260,8/9/1977,0,0,0,0,0,0,0,0,0,Indiana,Big Ten,2001,INA,INA,0,0,2504022,OGU444955.png
AO-0350,Adewale,Ojomo,A.Ojomo,DL,,76,270,11/11/1988,4.91,23,31,112,4.63,7.91,0,0,0,Miami (FL),Atlantic Coast (ACC),2012,INA,INA,0,0,2535949,OJO415291.png
AO-0370,Alex,Okafor,A.Okafor,LB,DL,76,264,2/8/1991,4.91,21,31,112,4.43,7.26,33.875,9.625,103,Texas,Big 12,2013,NO,RDE,57,1,2539319,OKA207645.png
AO-0400,Amobi,Okoye,A.Okoye,DL,,74,315,6/10/1987,5.07,29,30,111,4.44,7.46,0,0,10,Louisville,Big East,2007,INA,INA,0,0,2495697,OKO541722.png
AO-0500,Andre,O'Neal,A.O'Neal,LB,,73,235,12/12/1975,4.72,16,34,114,4.24,7.3,0,0,0,Marshall,Mid-American (MAC),2000,INA,INA,0,0,2504051,ONE035327.png
AO-0550,Andrew,Opoku,A.Opoku,WR,,76,225,11/11/1990,4.67,17,35,114,4.36,7.03,0,0,0,Delaware,Colonial Athletic (CAA),2016,INA,INA,0,0,2557549,OPO355964.png
AO-0600,Akwasi,Owusu-Ansah,A.Owusu-Ansah,DB,LB,72,207,4/10/1988,4.32,21,35.5,120,4.19,6.84,32.5,9.125,126,Indiana (PA),,2010,INA,INA,0,0,494293,OWU593274.png
AP-0100,Anton,Palepoi,A.Palepoi,DL,,75,283,11/19/1978,4.81,24,33.5,114,4.27,7.46,0,0,60,UNLV,Mountain West (MWC),2002,INA,INA,0,0,2505058,PAL144687.png
AP-0200,Ashlee,Palmer,A.Palmer,LB,,73,236,4/7/1986,4.59,0,0,0,0,0,0,0,0,Mississippi,Southeastern (SEC),2009,INA,INA,0,0,89774,PAL226555.png
AP-0250,Adam,Pankey,A.Pankey,OL,,76,313,2/2/1994,5.31,0,28,113,4.71,7.85,0,0,0,West Virginia,Big 12,2017,GB,LG,77,2,2558984,PAN653214.png
AP-0300,Anthony,Parker,A.Parker,DB,,73,200,12/4/1975,4.39,8,31,113,4.27,7.56,0,0,99,Weber State,Big Sky,2000,INA,INA,0,0,2502398,PAR142968.png
AP-0350,Alex,Parsons,A.Parsons,OL,,76,300,9/14/1987,4.93,25,28.5,106,4.56,7.56,0,0,0,USC,Pacific 12,2011,INA,INA,0,0,497036,PAR740370.png
AP-0370,Austin,Pasztor,A.Pasztor,OL,,79,308,11/26/1990,5.42,24,30,113,4.63,7.54,0,0,0,Virginia,Atlantic Coast (ACC),2012,ATL,RT,68,2,2535837,PAS822673.png
AP-0385,A.J.,Pataiali'i,A.Pataiali'i,DL,,75,307,9/13/1990,5.07,29,31.5,108,5.03,8.3,0,0,0,Utah State,Mountain West (MWC),2014,INA,INA,0,0,2550238,PAT002162.png
AP-0388,Andre,Patton,A.Patton,WR,,74,206,5/28/1994,4.54,10,35.5,118,4.29,6.74,0,0,0,Rutgers,Big Ten,2017,LAC,PS,88,4,2559227,PAT582420.png
AP-0392,Andrew,Peacock,A.Peacock,WR,,69,195,1/14/1991,4.73,17,38,121,4.33,7,0,0,0,Appalachian State,Southern,2014,INA,INA,0,0,2550240,PEA098169.png
AP-0400,Alvin,Pearman,A.Pearman,RB,,69,208,8/10/1982,4.63,24,35.5,120,4.06,6.91,0,0,127,Virginia,Atlantic Coast (ACC),2005,INA,INA,0,0,2506464,PEA296862.png
AP-0450,Andrus,Peat,A.Peat,OL,,79,313,11/4/1993,5.08,0,31,105,4.62,8.01,34.375,10.625,13,Stanford,Pacific 12,2015,NO,LG,75,1,2552455,PEA709791.png
AP-0475,Aaron,Peck,A.Peck,TE,,74,239,10/9/1994,4.68,22,36.5,115,4.36,7.27,0,0,0,Fresno State,Mountain West (MWC),2017,INA,INA,0,0,2558986,PEC343214.png
AP-0500,Antwan,Peek,A.Peek,LB,DL,75,237,10/29/1979,4.65,21,37,125,4.35,7.07,0,0,67,Cincinnati,Conference USA (C-USA),2003,INA,INA,0,0,2505559,PEE415289.png
AP-0550,Aarion,Penton,A.Penton,DB,,69,198,9/3/1994,4.61,13,32.5,122,4.6,7.19,29.625,9.125,0,Missouri,Southeastern (SEC),2017,INA,INA,0,0,2559090,PEN780192.png
AP-0600,Antonio,Perkins,A.Perkins,DB,,71,188,1/9/1982,4.49,10,40,126,4.07,7.17,0,0,103,Oklahoma,Big 12,2005,INA,INA,0,0,2506441,PER110175.png
AP-0700,Adrian,Peterson,A.Peterson,RB,,73,217,3/21/1985,4.4,0,38.5,127,4.4,7.09,32.25,9.5,7,Oklahoma,Big 12,2007,NO,RB,28,1,2507164,PET260705.png
AP-0800,Adrian,Peterson,A.Peterson,RB,,70,210,7/1/1979,4.68,14,34,119,4.6,7.59,0,0,199,Georgia Southern,Southern,2002,INA,INA,0,0,2505173,PET263012.png
AP-0900,Austin,Pettis,A.Pettis,WR,,75,209,5/7/1988,4.56,14,33.5,120,3.88,6.68,31.75,9.75,78,Boise State,Western Athletic,2011,INA,INA,0,0,2495212,PET735733.png
AP-1000,Aaron,Pettrey,A.Pettrey,K,,73,180,6/17/1986,4.94,0,0,0,0,0,0,0,0,Ohio State,Big Ten,2010,INA,INA,0,0,497085,PET740500.png
AP-1050,Adrian,Phillips,A.Phillips,DB,,71,201,3/28/1992,4.59,13,35.5,115,4.29,7.1,0,0,0,Texas,Big 12,2014,LAC,SS,31,2,2550842,PHI113173.png
AP-1075,Andy,Phillips,A.Phillips,OL,,75,306,7/31/1991,5.05,26,30,110,4.75,7.63,0,0,0,Central Michigan,Mid-American (MAC),2015,INA,INA,0,0,2553843,PHI113867.png
AP-1087,Andy,Phillips,A.Phillips,K,,70,210,5/18/1989,5.12,0,0,0,0,0,0,0,0,Utah,Pacific 12,2017,INA,INA,0,0,2559229,PHI114098.png
AP-1100,Anwar,Phillips,A.Phillips,DB,,71,185,10/25/1982,4.46,10,36,122,4.09,6.8,0,0,0,Penn State,Big Ten,2008,INA,INA,0,0,2506802,PHI119248.png
AP-1200,Antonio,Pierce,A.Pierce,LB,,73,240,10/26/1978,0,0,0,0,0,0,0,0,0,Arizona,Pacific 10,2001,INA,INA,0,0,2504433,PIE190923.png
